Language	English	Japanese
sCustomShaderTitle	Text Overlay	テキストオーバーレイ
sCustomPropertyCategory	Text Overlay	テキストオーバーレイ
sSpriteTex	Sprite Sheet Texture	スプライトシート
sTextAlign	Align	アラインメント
sZeroPadding	Zero padding	0埋め
sAlignRight	Right aligned	右寄せ
sAlignLeft	Left aligned	左寄せ
sTimeOfDayKind	Kind of time of day	時間種別
sLocalTime	Local Time	ローカル時間
sUTC	UTC	協定世界時
sEnableElapsedTime	Elapsed time	経過時間
sElapsedTimeDisplayLength	Display length	数字個数
sEnableVRChatTimeOfDay	Times of day (VRChat only)	時刻 (VRChatのみ)
sVRChatTimeOfDayDisplayLength	Display length	数字個数
sVRChatTimeOfDayLocalTimeOffsetSeconds	Offset seconds of local time	ローカル時間オフセット秒数
sVRChatTimeOfDayUtcOffsetSeconds	Offset seconds of UTC	UTCオフセット秒数
sEnableFramerate	Framerate	フレームレート
sFramerateDisplayLength	Display length	数字個数
sEnableWorldPos	World position	ワールド座標
sWorldPosColorX	Color of X	X座標色
sWorldPosColorY	Color of Y	Y座標色
sWorldPosColorZ	Color of Z	Z座標色
sWorldPosDisplayLength	Display length	数字個数
